id,user,transaction_date,sales_amount,join_date,region
16384,53,2014-01-02,37.54,2000-03-23,B
16385,499,2014-01-02,178.59,2008-11-25,B
16386,547,2014-01-02,51.56,2010-05-08,M
16387,591,2014-01-02,12.03,2009-10-16,L
16388,378,2014-01-02,50.02,2004-03-18,B
16389,254,2014-01-02,58.93,2007-01-06,B
16390,657,2014-01-02,14.60,2009-10-02,B
16391,1180,2014-01-02,18.77,2009-05-06,C
16392,1184,2014-01-02,22.46,2014-01-02,B
16393,336,2014-01-02,13.77,2010-05-28,N
16394,393,2014-01-02,18.46,2010-04-19,B
16395,777,2014-01-02,21.02,2010-06-06,C
16396,971,2014-01-02,11.89,2011-02-22,M
16397,167,2014-01-02,29.92,2010-11-15,B
16398,4,2014-01-02,91.01,2011-07-28,B
16399,1374,2014-01-02,69.17,2011-09-05,B
16400,1512,2014-01-02,21.30,2013-07-02,C
16401,4426,2014-01-02,36.88,2014-03-21,H
16402,2528,2014-01-02,4.90,2013-07-01,G
16403,3649,2014-01-02,22.43,2013-11-19,C
16404,2202,2014-01-02,26.22,2013-07-01,B
16405,4370,2014-01-02,28.60,2013-07-02,G
16406,3649,2014-01-02,7.98,2013-11-19,C
16407,4083,2014-01-02,6.13,2013-08-21,I
16408,5495,2014-01-02,29.41,2014-01-02,C
16409,5373,2014-01-02,48.75,2013-11-20,L
16410,5637,2014-01-02,17.62,2014-01-02,C
16411,5652,2014-01-02,21.39,2013-11-04,H
16412,4929,2014-01-02,40.16,2014-01-02,G
16413,3376,2014-01-02,17.19,2013-12-03,G
16414,7117,2014-01-02,22.76,2014-01-02,I
16415,4759,2014-01-02,19.66,2014-03-21,I
16416,7347,2014-01-02,108.52,2008-05-13,C
16417,5038,2014-01-02,54.95,2014-01-09,B
16418,5898,2014-01-02,87.30,2014-01-29,L
16419,6517,2014-01-02,59.16,2006-08-01,C
16420,5166,2014-01-02,6.56,2014-01-29,C
16421,7030,2014-01-02,131.43,2012-05-17,P
16422,6662,2014-01-02,11.06,2014-01-02,I
16423,5995,2014-01-02,15.16,2014-01-02,B
16424,7854,2014-01-02,17.04,2007-09-19,K
16425,7162,2014-01-02,27.85,2006-07-26,I
16426,7251,2014-01-02,17.61,2014-11-12,C
16427,9938,2014-01-02,2.46,2004-09-04,P
16428,191,2014-01-03,24.58,2001-01-01,B
16429,52,2014-01-03,8.93,2004-09-29,B
16430,662,2014-01-03,21.96,2010-07-30,M
16431,408,2014-01-03,31.15,2009-04-10,C
16432,59,2014-01-03,8.20,2007-02-14,B
16433,59,2014-01-03,18.79,2007-02-14,B
16434,1867,2014-01-03,67.95,2013-08-30,E
16435,1671,2014-01-03,52.29,2013-06-25,B
16436,834,2014-01-03,69.58,2013-06-26,H
16437,2837,2014-01-03,2.05,2013-07-10,C
16438,1650,2014-01-03,43.36,2013-06-07,A
16439,2260,2014-01-03,4.02,2013-05-25,I
16440,2680,2014-01-03,40.49,2013-09-17,G
16441,2680,2014-01-03,4.09,2013-09-17,G
16442,3500,2014-01-03,3.69,2013-07-25,D
16443,2772,2014-01-03,18.84,2014-03-21,O
16444,2526,2014-01-03,4.90,2013-07-01,M
16445,2877,2014-01-03,4.92,2013-05-17,O
16446,1756,2014-01-03,31.14,2013-07-01,G
16447,3500,2014-01-03,29.25,2013-07-25,D
16448,5009,2014-01-03,9.84,2013-08-01,I
16449,5042,2014-01-03,27.97,2013-10-30,L
16450,4940,2014-01-03,25.00,2013-09-02,O
16451,5075,2014-01-03,44.24,2013-09-28,P
16452,5009,2014-01-03,43.84,2013-08-01,I
