id,user,transaction_date,sales_amount,join_date,region
34195,94,1/2/15,52.82,3/21/08,C
34196,588,1/2/15,32.95,4/23/09,H
34197,72,1/2/15,29.34,5/6/08,G
34198,16,1/2/15,16.8,1/1/01,B
34199,126,1/2/15,14.67,4/11/05,I
34200,44,1/2/15,43.2,1/1/01,B
34201,41,1/2/15,16.31,8/1/09,B
34202,728,1/2/15,11.32,5/21/13,M
34203,1023,1/2/15,78.85,4/12/10,C
34204,630,1/2/15,12.62,3/20/10,I
34205,1663,1/2/15,15.49,9/23/11,C
34206,1425,1/2/15,53.03,5/22/12,B
34207,357,1/2/15,16.31,1/9/10,B
34208,703,1/2/15,20.17,5/2/11,M
34209,2010,1/2/15,32.88,11/12/02,B
34210,2095,1/2/15,26.5,12/11/14,C
34211,1819,1/2/15,31.05,7/1/13,B
34212,764,1/2/15,77.26,5/9/13,I
34213,2397,1/2/15,32.07,1/2/15,C
34214,2095,1/2/15,28.69,12/11/14,C
34215,4525,1/2/15,49.02,1/2/15,E
34216,4670,1/2/15,18.03,7/25/13,G
34217,4357,1/2/15,58.82,7/25/13,D
34218,1756,1/2/15,37.99,7/1/13,G
34219,3906,1/2/15,8.11,7/1/13,L
34220,4206,1/2/15,50.54,7/25/13,I
34221,3487,1/2/15,31.39,7/2/13,B
34222,3168,1/2/15,40.98,3/21/14,D
34223,5309,1/2/15,39.34,3/21/14,L
34224,3238,1/2/15,59.84,7/1/13,Q
34225,6449,1/2/15,18.68,2/28/07,B
34226,5942,1/2/15,28.98,2/10/14,L
34227,7209,1/2/15,42.38,1/2/15,B
34228,7403,1/2/15,46.56,1/2/15,C
34229,7364,1/2/15,17.04,3/21/14,C
34230,5317,1/2/15,68.98,4/3/15,G
34231,7823,1/2/15,18.85,12/23/14,S
34232,7651,1/2/15,12.14,1/2/15,B
34233,8972,1/2/15,10.86,5/5/07,B
34234,9533,1/2/15,44.14,9/30/08,P
34235,6439,1/2/15,16.94,10/13/14,C
34236,556,1/3/15,115.82,10/29/08,I
34237,22,1/3/15,12.21,7/6/05,B
34238,269,1/3/15,45.82,11/14/13,C
34239,979,1/3/15,40.82,12/3/11,B
34240,998,1/3/15,40.55,11/24/10,B
34241,1235,1/3/15,2.98,4/29/11,B
34242,393,1/3/15,2.13,4/19/10,B
34243,292,1/3/15,265.49,1/3/07,E
34244,495,1/3/15,10.38,10/2/10,J
34245,1015,1/3/15,41.72,8/11/10,I
34246,15,1/3/15,11.39,7/4/10,G
34247,295,1/3/15,26.15,9/28/11,B
34248,2783,1/3/15,33.14,1/3/15,E
34249,2506,1/3/15,41.8,4/18/14,D
34250,834,1/3/15,92.59,6/26/13,H
34251,2945,1/3/15,21.72,6/16/13,H
34252,3156,1/3/15,17.95,8/23/12,M
34253,1161,1/3/15,67.24,1/3/15,A
34254,2397,1/3/15,46.19,1/2/15,C
34255,3595,1/3/15,11.39,10/25/14,E
34256,3981,1/3/15,50.57,1/3/15,J
34257,1295,1/3/15,24.84,10/13/15,A
34258,629,1/3/15,57.17,7/2/13,N
34259,2713,1/3/15,55.91,12/27/14,K
34260,2680,1/3/15,130.12,9/17/13,G
34261,4449,1/3/15,33.11,12/18/13,G
34262,2042,1/3/15,8.43,7/1/13,G
34263,3077,1/3/15,17.33,3/21/14,G
34264,4117,1/3/15,69.77,7/1/13,B
34265,4230,1/3/15,7.37,7/2/13,G
34266,5313,1/3/15,40.48,11/28/13,B
34267,5165,1/3/15,8.11,4/27/14,E
34268,4390,1/3/15,5.74,9/17/13,S
34269,4625,1/3/15,89.92,9/17/13,H
34270,6073,1/3/15,13.86,10/4/13,H
34271,5868,1/3/15,29.69,9/20/14,P
34272,5498,1/3/15,65,10/24/14,I
34273,6199,1/3/15,29.6,3/21/14,P
34274,5620,1/3/15,19.02,4/16/14,I
34275,7489,1/3/15,31.8,1/3/15,B
34276,6801,1/3/15,43.67,2/10/14,H
34277,7514,1/3/15,35.16,1/9/14,G
34278,6983,1/3/15,33.94,4/27/14,C
34279,6444,1/3/15,15.44,1/6/15,G
34280,7852,1/3/15,25.41,12/16/03,B
34281,8465,1/3/15,31.56,6/5/12,F
34282,37,1/4/15,8.11,1/1/01,B
34283,250,1/4/15,73.45,6/25/09,B
34284,717,1/4/15,25.98,11/6/11,M
34285,321,1/4/15,7.38,11/22/10,B
34286,1164,1/4/15,15.16,10/11/12,B
34287,1648,1/4/15,6.4,11/25/09,B
34288,99,1/4/15,4.34,12/12/10,B
34289,1403,1/4/15,2.46,2/1/12,I
34290,615,1/4/15,44.92,9/30/03,B
34291,1111,1/4/15,103.7,1/4/15,B
34292,2951,1/4/15,60.7,1/4/15,P
34293,3574,1/4/15,49.47,1/4/15,I
34294,629,1/4/15,10.76,7/2/13,N
34295,2025,1/4/15,29.18,5/22/13,C
34296,3099,1/4/15,31.91,1/4/15,B
34297,3509,1/4/15,26.97,6/8/14,M
34298,3698,1/4/15,43.41,1/4/15,A
34299,629,1/4/15,26.74,7/2/13,N
34300,2208,1/4/15,15.82,7/1/13,B
34301,3744,1/4/15,88.52,7/1/13,S
34302,2210,1/4/15,12.12,6/27/13,C
34303,4879,1/4/15,62.7,3/21/14,E
34304,4990,1/4/15,50.06,11/4/13,C
34305,5362,1/4/15,86.3,3/21/14,H
34306,5060,1/4/15,0.82,9/2/13,B
34307,6260,1/4/15,1.64,10/23/07,O
34308,5686,1/4/15,43.03,9/2/13,Q
34309,7092,1/4/15,9.67,2/10/14,P
34310,5725,1/4/15,9.84,6/6/03,N
34311,7339,1/4/15,59.02,4/19/08,H
34312,6567,1/4/15,10.86,12/14/14,C
34313,9684,1/4/15,10.73,10/9/03,C
34314,7207,1/4/15,22.13,11/27/06,L
34315,299,1/5/15,58.12,3/12/07,C
34316,7,1/5/15,44.43,5/4/09,C
34317,452,1/5/15,117.94,12/17/08,B
34318,169,1/5/15,30.99,6/28/07,G
34319,317,1/5/15,20.41,6/5/09,H
34320,522,1/5/15,24.51,6/29/10,D
34321,43,1/5/15,9.34,8/21/02,B
34322,258,1/5/15,37.3,12/23/05,B
34323,253,1/5/15,10.17,8/1/09,B
34324,25,1/5/15,46.56,1/1/01,B
34325,954,1/5/15,49.1,12/24/13,H
34326,155,1/5/15,40.73,5/17/08,I
34327,336,1/5/15,160.6,5/28/10,N
34328,99,1/5/15,4.34,12/12/10,B
34329,2148,1/5/15,101.97,1/5/15,C
34330,2362,1/5/15,45.89,1/5/15,C
34331,1541,1/5/15,26.14,7/25/12,B
34332,1639,1/5/15,48.28,7/1/13,G
34333,629,1/5/15,4.8,7/2/13,N
34334,2713,1/5/15,49.51,12/27/14,K
34335,2053,1/5/15,21.31,7/1/13,L
34336,3488,1/5/15,34.66,1/5/15,H
34337,2321,1/5/15,17.2,7/1/13,C
34338,1351,1/5/15,39.18,2/23/05,B
34339,1951,1/5/15,20.49,5/18/13,B
34340,2861,1/5/15,50.82,6/6/13,G
34341,2504,1/5/15,53.52,7/1/13,P
34342,4699,1/5/15,35.57,8/1/13,D
34343,4151,1/5/15,9.42,7/25/13,G
34344,4000,1/5/15,36.8,3/21/14,P
34345,4613,1/5/15,1.64,6/15/13,L
34346,3822,1/5/15,36.8,7/1/13,L
34347,2416,1/5/15,60.86,7/1/13,T
34348,5513,1/5/15,11.22,1/5/15,I
34349,4943,1/5/15,50.97,11/28/13,D
34350,4947,1/5/15,10.97,8/21/13,G
34351,4199,1/5/15,24.51,3/21/14,C
34352,4625,1/5/15,58.64,9/17/13,H
34353,4645,1/5/15,49.8,11/17/14,S
34354,6506,1/5/15,31.8,12/14/10,C
34355,6851,1/5/15,37.3,7/14/14,I
34356,7163,1/5/15,34.57,1/5/15,G
34357,7328,1/5/15,19.43,4/12/14,G
34358,7714,1/5/15,25.12,8/4/04,S
34359,7089,1/5/15,35.66,5/6/13,A
34360,6755,1/5/15,10.88,1/5/15,C
34361,7109,1/5/15,52.46,11/15/14,G
34362,7030,1/5/15,74.56,5/17/12,P
34363,9106,1/5/15,33.87,3/21/09,M
34364,5759,1/5/15,24.51,1/27/14,C
34365,10,1/6/15,87.81,1/1/01,C
34366,211,1/6/15,25,6/19/07,F
34367,657,1/6/15,10.57,10/2/09,B
34368,242,1/6/15,67.3,5/8/10,C
34369,324,1/6/15,22.05,7/31/08,C
34370,1420,1/6/15,23.28,9/30/11,D
34371,1572,1/6/15,48.77,9/25/11,M
34372,985,1/6/15,9.75,4/28/11,M
34373,991,1/6/15,63.77,1/5/11,O
34374,1548,1/6/15,24.51,5/7/11,K
34375,2459,1/6/15,15.1,7/3/13,N
34376,1018,1/6/15,29.26,7/15/12,D
34377,1649,1/6/15,33.76,7/1/13,S
34378,2849,1/6/15,20.08,10/4/13,O
34379,3507,1/6/15,57.22,7/2/13,F
34380,1915,1/6/15,32.69,6/6/13,A
34381,629,1/6/15,8.6,7/2/13,N
34382,4197,1/6/15,20.14,1/6/15,M
34383,4680,1/6/15,33.2,12/24/13,S
34384,5254,1/6/15,9.88,9/17/13,H
34385,6180,1/6/15,9.82,1/6/15,P
34386,6180,1/6/15,13.68,1/6/15,P
34387,4882,1/6/15,0.01,4/11/14,M
34388,6177,1/6/15,24.51,10/25/14,B
34389,6180,1/6/15,8.76,1/6/15,P
34390,5270,1/6/15,22.54,2/27/03,L
34391,4854,1/6/15,38.04,3/21/14,D
34392,6414,1/6/15,49.59,4/5/14,O
34393,6422,1/6/15,77.2,7/13/03,C
34394,7586,1/6/15,9.83,3/15/10,G
34395,8541,1/6/15,30.54,1/6/15,C
34396,8589,1/6/15,49.59,11/20/12,O
34397,6962,1/6/15,35.25,5/28/03,C
34398,6180,1/6/15,33.78,1/6/15,P
34399,5459,1/6/15,37.01,4/28/14,I
34400,6180,1/6/15,14.35,1/6/15,P
34401,103,1/7/15,24.51,4/8/08,E
34402,247,1/7/15,18.44,12/14/07,J
34403,123,1/7/15,37.79,10/25/02,B
34404,568,1/7/15,19.59,3/1/02,B
34405,770,1/7/15,39.57,12/9/10,L
34406,1460,1/7/15,17.87,11/15/99,B
34407,1011,1/7/15,26.23,11/3/05,E
34408,630,1/7/15,41.39,3/20/10,I
34409,2400,1/7/15,20.83,1/7/15,C
34410,2484,1/7/15,49.02,1/7/15,I
34411,803,1/7/15,85.16,6/26/12,H
34412,1417,1/7/15,23.69,3/2/07,B
34413,2397,1/7/15,32.07,1/2/15,C
34414,4079,1/7/15,16.8,9/17/13,I
34415,3649,1/7/15,60.25,11/19/13,C
34416,2288,1/7/15,24.51,7/1/13,B
34417,4370,1/7/15,52.75,7/2/13,G
34418,4885,1/7/15,61.39,11/22/13,I
34419,4650,1/7/15,29.97,10/12/03,C
34420,5271,1/7/15,7.3,3/21/14,E
34421,5312,1/7/15,36.66,3/21/14,A
34422,5217,1/7/15,8.52,4/15/14,S
34423,4518,1/7/15,10.77,11/28/13,M
34424,5886,1/7/15,11.8,7/5/14,P
34425,7129,1/7/15,37.25,9/17/13,H
34426,6824,1/7/15,19.67,10/31/14,D
34427,8444,1/7/15,96.31,4/13/07,I
34428,6680,1/7/15,5.28,1/7/15,B
34429,4943,1/7/15,84.26,11/28/13,D
34430,7462,1/7/15,88.93,1/10/15,G
34431,9386,1/7/15,88.52,8/2/05,I
34432,8226,1/7/15,13.93,6/1/10,B
34433,8232,1/7/15,36.8,6/6/09,O
