id,user,transaction_date,sales_amount,join_date,region,,
47341,1694,2016-01-05,119.02,2013-07-01,B,,
47342,2676,2016-01-05,61.42,2013-08-21,L,,
47343,3827,2016-01-05,10.65,2013-11-28,C,,
47344,3912,2016-01-05,52.81,2013-09-17,P,,
47345,4371,2016-01-05,7.62,2013-11-04,S,,
47346,5189,2016-01-05,17.05,2015-03-03,C,,
47347,5758,2016-01-05,48.68,2014-06-09,S,,
47348,5950,2016-01-05,5.66,2015-11-07,B,,
47349,6052,2016-01-05,4.02,2013-12-20,I,,
47350,6459,2016-01-05,89.90,2014-04-05,B,,
47351,6710,2016-01-05,13.03,2016-01-05,H,,
47352,6785,2016-01-05,55.88,2015-12-22,O,,
47353,6804,2016-01-05,188.53,2016-01-05,C,,
47354,5167,2016-01-05,18.77,2013-10-30,H,,
47355,7270,2016-01-05,41.31,2015-12-06,I,,
47356,7294,2016-01-05,15.56,2007-09-08,P,,
47357,8224,2016-01-05,25.40,2016-01-05,I,,
47358,8379,2016-01-05,31.71,2008-03-06,P,,
47359,8989,2016-01-05,24.51,2016-01-05,I,,
47360,7016,2016-01-05,22.93,2014-11-01,G,,
47361,7759,2016-01-05,21.23,2011-09-12,I,,
47362,6987,2016-01-05,39.68,2009-01-23,F,,
47363,6921,2016-01-05,40.74,2015-12-05,C,,
47364,1040,2016-01-06,61.35,2011-12-31,P,,
47365,1281,2016-01-06,6.48,2011-06-17,D,,
47366,207,2016-01-06,36.22,2011-01-29,B,,
47367,2576,2016-01-06,38.52,2014-10-07,F,,
47368,1381,2016-01-06,9.66,2008-07-14,B,,
47369,99,2016-01-06,9.60,2010-12-12,B,,
47370,3152,2016-01-06,38.44,2013-07-02,G,,
47371,3983,2016-01-06,47.46,2016-01-06,I,,
47372,3407,2016-01-06,49.32,2015-07-10,C,,
47373,3649,2016-01-06,19.61,2013-11-19,C,,
47374,4493,2016-01-06,16.22,2013-08-21,G,,
47375,4528,2016-01-06,10.57,2013-12-03,G,,
47376,5363,2016-01-06,0.01,2015-06-27,G,,
47377,6563,2016-01-06,31.17,2015-06-16,C,,
47378,5413,2016-01-06,10.41,2014-10-14,G,,
47379,7746,2016-01-06,7.31,2015-12-11,I,,
47380,7835,2016-01-06,48.77,2016-01-06,M,,
47381,4854,2016-01-06,31.57,2014-03-21,D,,
47382,8301,2016-01-06,14.52,2016-01-06,D,,
47383,7835,2016-01-06,21.13,2016-01-06,M,,
47384,5872,2016-01-06,27.46,2004-06-27,P,,
47385,5104,2016-01-06,12.13,2013-11-04,G,,
47386,21,2016-01-07,35.19,2001-01-01,B,,
47387,117,2016-01-07,75.48,2005-08-12,B,,
47388,670,2016-01-07,18.30,2010-02-04,C,,
47389,834,2016-01-07,170.85,2013-06-26,H,,
47390,651,2016-01-07,31.84,2011-06-13,H,,
47391,1385,2016-01-07,53.93,2013-12-14,K,,
47392,793,2016-01-07,69.92,2011-08-04,C,,
47393,2823,2016-01-07,543.80,2009-05-17,B,,
47394,2550,2016-01-07,26.23,2015-02-12,E,,
47395,3168,2016-01-07,99.47,2014-03-21,D,,
47396,1969,2016-01-07,66.05,2013-06-06,G,,
47397,3670,2016-01-07,22.45,2016-01-07,C,,
47398,4041,2016-01-07,38.06,2013-06-22,P,,
47399,2823,2016-01-07,224.15,2009-05-17,B,,
47400,4490,2016-01-07,88.72,2014-12-26,A,,
47401,2566,2016-01-07,10.63,2013-06-29,D,,
47402,3692,2016-01-07,76.64,2013-10-04,D,,
47403,4873,2016-01-07,80.65,2013-10-04,G,,
47404,3008,2016-01-07,73.77,2013-08-01,S,,
47405,5579,2016-01-07,12.70,2013-03-04,I,,
47406,5052,2016-01-07,14.75,2014-08-19,C,,
47407,6693,2016-01-07,170.59,2014-08-13,D,,
47408,4841,2016-01-07,78.44,2013-09-17,S,,
47409,7227,2016-01-07,49.10,2015-01-12,D,,
47410,7752,2016-01-07,19.59,2015-10-16,C,,
47411,6503,2016-01-07,0.01,2014-12-26,O,,
47412,5611,2016-01-07,25.54,2013-12-03,M,,
47413,25,2016-01-08,26.05,2001-01-01,B,,
47414,393,2016-01-08,47.38,2010-04-19,B,,
47415,299,2016-01-08,70.90,2007-03-12,C,,
47416,118,2016-01-08,12.29,2007-05-02,I,,
47417,378,2016-01-08,82.11,2004-03-18,B,,
47418,96,2016-01-08,38.00,2008-01-11,M,,
47419,1258,2016-01-08,16.79,2011-11-11,B,,
47420,1126,2016-01-08,69.47,2014-07-25,D,,
47421,706,2016-01-08,48.42,2012-05-16,D,,
47422,3424,2016-01-08,28.53,2016-01-08,J,,
47423,1966,2016-01-08,19.66,2013-07-01,I,,
47424,4893,2016-01-08,6.48,2014-01-14,C,,
47425,3649,2016-01-08,12.23,2013-11-19,C,,
47426,3649,2016-01-08,28.58,2013-11-19,C,,
47427,5317,2016-01-08,42.97,2015-04-03,G,,
47428,5798,2016-01-08,4.02,2014-01-09,D,,
47429,2416,2016-01-08,106.48,2013-07-01,T,,
47430,5401,2016-01-08,17.94,2013-10-04,C,,
47431,6470,2016-01-08,22.87,2014-11-07,I,,
